일자,세대명,위치,공종,부위,하자유형,미처리하자
2021-02-07 15:04:37,981동 4076호,주방,설비,,환기후드가 제기능을 못해요. 환기가 안될뿐더러 틀어도 주변 연기가 자욱하네요.,-
2021-05-30 02:06:42,162동 3419호,침실,건축,벽,침실 창틀 상부가 균열 되어 있고 누수 자국이 있음,-
2022-12-07 04:42:10,763동 6002호,발코니,건축,벽,발코니 벽에 균열이 심함,-
2022-01-06 16:40:42,165동 4146호,화장실,건축,바닥,화장실 타일 하나가 낮게 묻혀있어서 항상 물이 고여있음,-
2019-01-11 04:25:31,651동 6884호,주방,설비,,환기후드 이상한 소음 들림,-
2018-03-30 23:48:32,403동 2103호,화장실,건축,,화장실 장안에 선반이 조립되어 있지 않고 떨어져 있어요.,-
2019-09-21 19:48:26,445동 478호,그레스룸,전기,천장,드레스룸 불이 안들어옴,-
2018-03-16 10:19:21,749동 8321호,전열교환실,전기,벽,전열교환기실 스위치가 덜렁거림 고정 필요,-
2018-04-14 12:12:41,592동 1748호,화장실,건축,바닥,화장실 바닥 타일 깨졌다는 접수 후에 연락이 없음,-
2021-09-10 23:42:32,518동 7105호,침실 발코니,건축,,침실 발코니 방충망 위쪽 상단부분이 찢어져 있어요.,-
2019-02-22 14:32:49,190동 3123호,발코니,설비,,발코니 수도꼭지가 돌릴 때 뻑뻑해요.,-
2020-03-29 04:01:43,288동 6344호,침실,전기,벽,침실 스마트 패드가 작동을 안해요,-
2020-02-08 05:43:11,766동 8320호,주방,건축,,냉장고 옆 수랍장을 열을 때 뻑뻑하고 선반 시트지가 찢겨져 있어요,-
2019-06-05 06:46:11,981동 1993호,주방,설비,,주방 환기 후드 기름이 떨어짐,-
2019-03-26 16:13:02,631동 5150호,주방,건축,,주방 창문 설치불량,-
2022-02-19 12:39:55,158동 9125호,,전기,벽,분전반 부착상태 불량,-
2021-11-28 07:39:09,589동 7711호,거실,설비,천장,거실 에어컨 오작동,-
2021-04-27 14:37:31,583동 7199호,거실,건축,벽,거실 벽체 오염,-
2020-05-01 03:45:38,648동 9489호,거실,건축,벽,거실 복도 벽 도배하지 않은 부분에 찍힘 현상이 많이 있습니다.,-
2022-11-09 22:14:56,716동 3423호,침실발코니,설비,,침실 발코니 수도꼭지에서 물이 잘 안나와요. 수압이 약한거 같아요.,-
2020-09-20 05:48:57,516동 6421호,침실,건축,천장,침실 몰딩 시공이 불량해요 보수 부탁드립니다.,-
2020-02-12 19:37:01,152동 5442호,주방,건축,,주방 아일랜드식탁 이어짐부분 벌어짐,-
2019-06-10 04:32:19,224동 6292호,주방,설비,천장,주방 감지기가 고정이 제대로 안되어 있어요.,-
2019-01-04 18:57:33,970동 2846호,거실,건축,벽,거실 아트월 불균형,-
2022-11-19 16:20:31,425동 4706호,침실,건축,벽,침실 창문 모서리 벽지 들뜸,-
2019-03-05 07:15:24,431동 2752호,현관,건축,,현관 신발장 선반 수평이 안 맞고 군데군데 찍힌 부분이 있어요.,-
2022-03-03 16:40:33,398동 2309호,다용도실,설비,바닥,다용도실 하수구 악취 심함,-
2019-09-14 20:15:09,366동 2696호,다용도실,건축,,다용도실 타일 세장 정도 금가있어서 교체가 필요함,-
2020-12-18 09:16:45,587동 8556호,침실,건축,,침실 화장대 서랍이 닫히지 않고 자꾸 열려요,-
2022-09-03 06:56:41,818동 2800호,,건축,,전체적으로 몰딩한 부분과 걸레받이 한 부분에 벽지가 떠 있습니다.,-
2021-08-06 16:04:00,253동 8277호,주방,건축,벽,주방 벽 타일 메지 탈락,-
2019-11-29 18:47:11,980동 5779호,화장실,설비,,화장실 샤워기 부착상태 불량해요,-
2021-05-01 04:09:37,776동 8361호,주방,건축,벽,주방 타일 벽 균열로 보수 받았으나 재균열 발생,-
2021-06-12 22:13:49,528동 507호,화장실,설비,,화장실 변기 앉는 곳 흔들림,-
2018-10-28 18:55:45,352동 8281호,화장실,설비,바닥,화장실 배수구에서 냄새도 나고 벌레들이 너무 많이 나오네요,-
2019-10-26 08:37:30,900동 8190호,주방,건축,벽,주방 냉장고 자리 콘센트가 안돼요.,-
2019-01-15 16:27:05,713동 5995호,현관,건축,,현관 대리석 줄눈 오시공,-
2018-09-02 06:43:38,990동 3370호,주방,설비,,주방 씽크대 수전류에서 물의 수압이 너무 약해요.,-
2022-04-01 07:04:08,925동 1133호,화장실,건축,바닥,화장실 타일 바닥높이가 맞지 않습니다.,-
2021-07-18 09:32:10,608동 2647호,화장실,설비,천장,화장실 환기구 왼쪽 부분이 파손됐습니다.,-
2021-07-16 19:23:08,632동 1571호,주방,건축,천장,주방 천장 도배 들뜸,-
2018-08-23 14:50:38,678동 1534호,드레스룸,건축,바닥,드레스룸 바닥 찍힘,-
2020-02-02 17:05:13,251동 1694호,대피공간,건축,,대피공간 방화문 찌그러져 있어서 개폐 불가능,-
2022-02-01 01:03:52,116동 7323호,주방,건축,,주방 하부장 두 번째 서랍 시트지 들뜸,-
2021-01-19 15:33:53,526동 6067호,침실,건축,벽,침실 창문 밑 벽지에 오염이 심하게 되어있습니다.,-
2021-02-08 19:21:06,336동 191호,거실,건축,벽,거실 복도 벽에 이물질이 튀어 있음. 제거가 필요함,-
2018-01-07 19:21:43,421동 5509호,침실,건축,바닥,침실 바닥 들뜸 미처리,-
2021-04-04 11:13:03,709동 8351호,샤워부스,건축,,샤워부스 문 열 때 소리남,-
2022-03-03 18:24:14,909동 6446호,화장실,설비,,화장실 변기 쪽에서 물이 계속 흐름,-
2019-12-25 08:42:00,732동 937호,대피공간,건축,,대피공간 방화문 이물질에 오염되어 있음,-
2020-02-02 09:36:30,683동 7015호,전열교환실,전기,벽,전열교환기실 스위치가 떨어짐 보수 필요,-
2018-09-15 11:41:41,451동 2410호,전열교환실,전기,벽,전열교환기실 스위치가 고장남,-
2022-04-17 20:14:09,208동 7456호,화장실,설비,천장,화장실 환기가 불량해서 냄새가 빠지지가 않아요,-
2018-06-12 10:41:00,837동 5152호,주방,건축,,주방 오븐 아래 서랍 닫히지 않음,-
2019-09-14 20:15:09,366동 2696호,다용도실,건축,,다용도실 타일 세장 정도 금가있어서 교체가 필요함,-
2020-01-30 23:40:30,428동 9892호,거실,전기,벽,거실 월패드에 전원이 안 들어와요.,-
2020-05-06 19:49:01,639동 7974호,침실,건축,벽,화장대 거울 부착상태 불량하고 오염물질 묻어있음,-
2021-03-28 18:45:46,201동 2081호,거실 화장실,건축,,거실 화장실 타일 수평불량,-
2021-09-01 02:46:33,481동 8926호,화장실,설비,,화장실 욕조 부착상태와 실리콘 처리가 불량,-
2019-01-21 19:50:03,727동 8042호,침실,설비,천장,"침실 에어컨에서 작동하지 않아도 소리나고, 작동하면 소리가 더 크게 나요.",-
2020-09-06 18:13:55,663동 4570호,주방,설비,천장,주방 스프링클러 한 개가 찌그러져 있어요.,-
2022-10-26 11:48:23,323동 9218호,발코니,건축,벽,발코니 창문 잘 안 열림,-
2018-02-05 14:55:36,198동 2691호,침실,건축,,바람 불면 침실 창문이 너무 심하게 덜컹거려요.,-
2020-04-20 13:16:12,792동 8988호,발코니,건축,벽,발코니 벽면 모서리 실크랙,-
2021-03-01 04:13:03,255동 5170호,대피공간,건축,,대피공간 방화문 문틀 부착상태 불량,-
2021-09-23 15:41:54,937동 5376호,현관,건축,벽,현관 앞 방문입구쪽 벽지 구멍,-
2021-12-24 11:41:12,780동 7231호,전열교환실,건축,천장,전열교환기실 천장에 물이 맺혀있음,-
2019-10-06 09:50:42,161동 2902호,현관,건축,,신발장 문의 경첩 나사가 풀려서 보수 필요합니다.,-
2022-04-29 12:38:29,999동 7456호,화장실,전기,벽,화장실 스위치에 오염이 심해서 교체가 필요해요.,-
2021-10-30 06:35:55,635동 8933호,거실,전기,벽,거실 월패드 부착상태가 불량하고 주변 도배상태도 불량해요,-
2018-08-15 11:02:55,500동 1672호,주방,설비,,후드 작동불량하고 배기도 불량합니다.,-
2021-02-24 10:07:21,667동 695호,현관,건축,바닥,현관 거실 방향 출입구 바닥 대리석 균열,-
2019-05-14 05:35:02,672동 4325호,화장실,건축,,샤워실 타일마다 틈새에 금이 나 있음,-
2022-11-11 10:19:20,468동 8035호,대피공간,건축,,대피공간 창문 잠금기능 불량,-
2019-11-21 17:46:55,581동 2238호,거실,전기,벽,거실 비디오폰이 기스가 나있어요.,-
2020-01-02 17:35:01,263동 1937호,주방,건축,천장,주방 천장 도배가 중간중간 들떠있어요.,-
2020-07-02 07:23:50,311동 6931호,현관,전기,천장,현관 전등이 혼자서 깜빡거려요.,-
2019-10-02 09:11:09,486동 7165호,거실,건축,바닥,거실 바닥 들뜸,-
2018-04-11 17:43:55,170동 1394호,거실,건축,벽,거실 아트월 균열,-
2019-09-02 05:44:34,534동 3397호,화장실,건축,벽,화장실 화장지 걸이 경첩 불량,-
2018-10-09 12:32:54,381동 6943호,침실,건축,,침실 방문 문틀 파손,-
2022-11-02 19:56:45,213동 1702호,화장실,설비,바닥,화장실 배수구 물고임 현상이 심해서 냄새도 나네요,-
2019-07-11 07:31:48,874동 3655호,현관,건축,,현관문 쪽 오른쪽 벽 구멍 나 있음,-
2020-01-29 08:19:21,607동 2724호,대피공간,건축,,대피공간 전체적인 도장상태 시공불량,-
2021-11-28 07:39:09,589동 7711호,거실,설비,천장,거실 에어컨 오작동,-
2018-11-25 21:34:21,344동 3097호,드레스룸,건축,,드레스룸 옷 선반이 덜컹거려요,-
2022-09-12 21:35:03,741동 6290호,현관,건축,,현관문 열고 닫을 때 소음이 심함.,-
2019-03-12 20:25:13,272동 2684호,대피공간,건축,벽,대피공간 벽체 시멘트 변색,-
2022-04-13 01:11:18,189동 5700호,다용도실,건축,벽,다용도실 벽면에 시멘트가 벗겨지고 있어서 보수가 필요해 보임,-
2022-03-27 01:13:15,704동 5669호,침실 발코니,전기,천장,침실 발코니 전등에 불이 제대로 들어오지 않고 깜빡임,-
2021-09-12 13:38:40,196동 8439호,주방,건축,,오븐 작동 버튼이 안 눌려요,-
2019-08-18 03:08:57,274동 4442호,침실,건축,,침실 창문 문틀에 오염물질이 심하게 있어요,-
2021-11-04 03:12:51,965동 8647호,화장실,설비,,화장실 샤워기 파손되어 있어서 교체 필요,-
2022-04-11 01:25:22,195동 307호,다용도실,설비,바닥,다용도실 배수구 넘침,-
2019-03-12 20:25:13,272동 2684호,대피공간,건축,벽,대피공간 벽체 시멘트 변색,-
2020-01-29 08:19:21,607동 2724호,대피공간,건축,,대피공간 전체적인 도장상태 시공불량,-
2020-10-02 00:18:23,576동 579호,침실,건축,,침실 붙박이장 시트지 벗겨짐,-
2022-06-16 11:20:25,988동 934호,주방,설비,천장,"주방 에어컨 오른쪽 부분이 균열있고, 이물질이 묻어있습니다.",-
2019-06-27 00:48:12,368동 7715호,거실,건축,천장,거실 몰딩 깨짐,-
2021-11-26 21:57:59,284동 7070호,침실,건축,벽,침실 벽 도배불량,-
2022-03-27 03:36:18,434동 9335호,현관,전기,,현관문 인터본 작동 안됨,-
2022-03-02 04:07:22,415동 5008호,거실,설비,천장,거실 시스템 에어컨 배선나옴,-
2020-09-06 18:13:55,663동 4570호,주방,설비,천장,주방 스프링클러 한 개가 찌그러져 있어요.,-
2021-07-14 01:30:10,775동 6966호,거실 발코니,설비,,거실 발코니 수전에서 물이 잘 안나와요. 수압이 너무 약해요.,-
2018-04-26 04:42:57,939동 5924호,화장실,설비,,화장실 샤워기 호스에서 물잠김 상태인데도 뚝뚝떨어짐,-
2021-07-01 23:50:43,645동 3746호,화장실,설비,,화장실 샤워기 불량,-
2019-05-28 03:43:34,852동 9866호,화장실,건축,,화장실 세면대 위 대리석 균열,-
2020-02-10 00:02:48,932동 9116호,주망,건축,,주방 씽크대 처짐,-
2019-04-04 21:06:08,765동 605호,화장실,설비,,화장실 배수구 냄새,-
2022-02-19 19:29:38,924동 845호,현관,건축,벽,현관 전신거울 깨져있고 밑에 파편도 있음,-
2019-09-14 13:37:54,714동 1247호,화장실,설비,,화장실 양변기 안에 오염돼서 사용하기 불쾌합니다.,-
2021-03-28 17:18:41,699동 3916호,침실,설비,천장,침실 스프링클러가 찌그러져 있어서 교체가 필요해요.,-
2018-02-06 03:38:45,645동 8917호,화장실,설비,천장,화장실 환기구 커버 탈락,-
2022-03-27 01:13:15,704동 5669호,침실 발코니,전기,천장,침실 발코니 전등에 불이 제대로 들어오지 않고 깜빡임,-
2019-05-05 19:56:29,480동 4341호,침실 발코니,건축,벽,침실 발코니 벽면 시멘트 마감이 제대로 되지 않았어요.,-
2020-04-24 12:26:51,307동 4308호,다용도실,전기,벽,다용도실 콘센트 윗부분이 일부 파손되어 있고 부착상태가 불량해요.,-
2019-06-18 00:29:42,133동 3617호,다용도실,건축,,다용도실 결로로 하자 접수 하였으며 고객센터에서 현장 확인 후 곰팡이 제거 및 페인트 재 도장 해주기로 하였으나 연락이 없음,-
2020-04-23 03:49:13,751동 3360호,주방,건축,,씽크대 도색 불량,-
2022-04-11 22:15:27,368동 1621호,주방,건축,,주방 오븐 조작불량합니다.,-
2019-05-05 19:56:29,480동 4341호,침실 발코니,건축,벽,침실 발코니 벽면 시멘트 마감이 제대로 되지 않았어요.,-
2018-11-21 07:59:49,250동 5253호,침실,건축,,침실 결로현상,-
2019-07-11 07:31:48,874동 3655호,현관,건축,,현관문 쪽 오른쪽 벽 구멍 나 있음,-
2018-10-28 18:55:45,352동 8281호,화장실,설비,바닥,화장실 배수구에서 냄새도 나고 벌레들이 너무 많이 나오네요,-
2022-03-14 22:47:36,960동 660호,거실,건축,바닥,"거실 바닥이 심하게 기스 나있고, 눌린 데가 있어 바닥이 떠있음",-
2022-03-07 05:38:39,871동 8863호,전열교환실,건축,벽,전열교환기실 벽면 균열이 있고 그 면적이 넓음 확인 필요함.,-
2019-06-23 09:27:12,757동 7670호,화장실,건축,바닥,화장실 바닥 변색,-
2019-01-09 04:36:15,789동 6942호,다용도실,건축,,다용도실 결로 심함,-
2022-02-19 19:29:38,924동 845호,현관,건축,벽,현관 전신거울 깨져있고 밑에 파편도 있음,-
2021-06-26 12:10:09,803동 361호,주방,건축,바닥,주방 바닥이 중간중간 동전크기로 찍혀있어요.,-
2018-06-26 04:26:08,514동 6247호,주방,건축,,씽크대 하부장 문이 닫히지 않음,-
2021-04-29 16:24:28,745동 4699호,전열교환실,건축,,전열교환기실 문열고 닫을 때 소리가 남,-
2021-04-14 02:29:29,886동 3097호,침실,건축,"벽, 모서리",침실 벽면과 모서리 도배지 들뜸,-
2019-07-08 02:13:25,860동 1258호,거실,건축,,거실 이중창 둘 다 기스가 심하게 나있음,-
2020-09-17 13:12:18,356동 6585호,현관,건축,,현관문 문틀 밑에 부분 찌그러져 있어요.,-
2022-07-09 07:29:56,270동 4330호,,전기,벽,분전반 파손되어 있음,-
2021-05-22 10:30:15,789동 6978호,대피공간,건축,바닥,대피공간 바닥타일 줄눈 불량하고 이물질 껴있음,-
2021-06-26 12:10:09,803동 361호,주방,건축,바닥,주방 바닥이 중간중간 동전크기로 찍혀있어요.,-
2020-10-16 01:44:15,590동 5747호,화장실,건축,바닥,화장실 바닥이 너무 미끄러워서 물이 조금만 있어도 넘어지기 쉬어요.,-
2021-10-31 17:07:19,755동 4583호,화장실,설비,천장,화장실 환기구 부착상태가 불량해요.,-
2021-10-26 19:57:57,216동 5927호,주방,건축,,주방 개수대 실리콘 이상함,-
2021-10-26 19:57:57,216동 5927호,주방,건축,,주방 개수대 실리콘 이상함,-
2021-10-27 06:13:21,648동 9138호,현관,전기,천장,현관 전등 움직임 센서 불량,-
2019-09-21 19:48:26,445동 478호,그레스룸,전기,천장,드레스룸 불이 안들어옴,-
2020-06-15 00:18:20,363동 4270호,침실,전기,벽,침실 스위치를 꺼도 불이 계속 켜져있음,-
2022-11-13 12:11:03,885동 4920호,드레스룸,건축,,드레스룸 선반 누락,-
2019-05-29 02:04:27,301동 7480호,다용도실,건축,,다용도실 타일 오염,-
2019-06-29 17:21:31,802동 1849호,주방,건축,벽,주방 냉장고 자리 벽면 도배가 많이 더러워요.,-
2018-05-09 11:04:04,795동 5397호,화장실,설비,,화장실 수전 손잡이 불량,-
2021-10-30 02:14:54,514동 3905호,침실 화장실,설비,,침실 화장실 비데 제품 불량,-
2019-04-28 04:17:59,126동 4266호,화장실,설비,,화장실 수전꽂이 불량,-
2021-09-21 08:41:05,429동 5022호,거실 발코니,설비,,거실 발코니 수전류 꼭지를 돌려도 물이 나오지 않음,-
2022-11-14 03:09:00,675동 474호,현관,건축,,신발장 문이 덜렁거리고 곧 떨어질거같아요.,-
2018-05-11 01:12:53,404동 7953호,주방,전기,벽,주방 콘센트에 오염이 심해서 교체가 필요합니다.,-
2022-07-03 02:26:17,191동 3258호,대피공간,설비,천장,대피공간 감지기 미설치,-
2018-10-09 12:32:54,381동 6943호,침실,건축,,침실 방문 문틀 파손,-
2022-12-18 13:31:13,288동 5251호,거실,건축,바닥,거실 바닥 수평불량,-
2019-10-27 04:20:02,614동 4456호,침실 발코니,건축,벽,침실 발코니 벽면의 오염이 심해요. 보수 필요합니다.,-
2018-04-03 14:29:28,292동 9697호,주방,건축,,주방 아일랜드식탁 상판균열,-
2020-05-31 02:59:43,635동 1090호,침실,건축,,화장대 옆 수납공간 부착상태 불량하여 수리 필요,-
2020-12-23 22:08:44,440동 5875호,화장실,건축,,화장실 욕조 실리콘 오염,-
2018-10-30 14:55:14,425동 6395호,화장실,설비,,화장실 샤워기 물샘,-
2018-09-25 15:13:10,246동 3047호,현관문,건축,,현관문 도어체크 이상함,-
2021-07-14 01:30:10,775동 6966호,거실 발코니,설비,,거실 발코니 수전에서 물이 잘 안나와요. 수압이 너무 약해요.,-
2020-01-07 04:19:28,216동 9418호,주방,건축,바닥,주방 걸레받이 시공이 불량하고 오염된 부분도 처리 부탁드립니다.,-
2019-03-05 07:15:24,431동 2752호,현관,건축,,현관 신발장 선반 수평이 안 맞고 군데군데 찍힌 부분이 있어요.,-
2021-08-24 12:22:35,106동 8899호,거실,건축,,거실 복도 도배,-
2018-02-14 01:41:15,408동 5103호,주방,설비,,주방 씽크대 수전 누수,-
2020-11-20 13:16:28,203동 244호,드레스룸,건축,벽,드레스룸 벽체 시트지 들뜸,-
2022-12-19 17:31:38,118동 6253호,전열교환실,전기,벽,전열 교환기실 콘센트가 덜렁거려서 곧 떨어질거같아요.,-
2021-09-11 00:39:48,674동 6164호,화장실,건축,,화장실 거울에 기스가 많이 나있어서 잘 안보여요,-
2019-08-17 07:54:53,976동 2421호,침실,건축,,침실 손잡이 열쇠로 개폐안됨,-
2019-07-08 00:23:37,944동 7465호,화장실,설비,,화장실 샤워기 잠금이 불량해서 물이 샙니다,-
2019-03-23 04:48:24,663동 892호,거실,전기,벽,거실 비디오폰 화질이 불량합니다.,-
2021-04-16 17:23:39,117동 7206호,개수대,건축,,개수대 실리콘 미시공 및 오시공,-
2019-07-11 12:10:48,783동 4751호,다용도실,전기,천장,다용도실 불이 계속 켜져 있음 확인 필요.,-
2020-09-21 01:33:44,643동 7093호,침실,건축,,침실 창호 열릴 때 빡빡함,-
2021-08-17 09:19:54,228동 759호,거실,건축,벽,거실 아트월 대리석 들뜸,-
2019-06-05 06:46:11,981동 1993호,주방,설비,,주방 환기 후드 기름이 떨어짐,-
2019-03-12 00:52:37,468동 7082호,침실,건축,,침실 방충망 찢어짐,-
2019-06-07 08:59:47,365동 3273호,다용도실,건축,벽,다용도실 벽에 실금이 가 있음.,-
2020-09-01 09:32:44,326동 9120호,주방,건축,,오븐 버튼이 뻑뻑해요.,-
2020-12-31 08:48:17,537동 330호,전열교환실,전기,천장,전열교환기실 전등 부착상태가 불량해요.,-
2019-01-18 05:36:03,273동 4816호,거실,전기,벽,거실 비디오폰에 부착상태가 불량하네요.,-
2019-12-19 08:21:57,737동 6571호,"거실, 방",건축,,"거실, 방의 문틀 물받이 부분 실리콘 마감 불량",-
2021-10-30 02:14:54,514동 3905호,침실 화장실,설비,,침실 화장실 비데 제품 불량,-
2022-02-24 21:48:29,844동 7057호,다용도실,건축,천장,다용도실 천장에 시멘트가 벗겨지고 균열감,-
2021-12-02 13:09:30,938동 500호,전열교환실,건축,천장,전열교환실 천장 시멘트 균열,-
2022-03-18 11:10:14,593동 6957호,현관,전기,벽,현관 배전함 문 댐퍼 고장,-
2019-01-06 00:51:02,594동 5194호,,건축,벽,전체적으로 창문 결로 현상이 심해서 벽지에 색있는 곰팡이가 퍼져요.,-
2022-03-14 22:47:36,960동 660호,거실,건축,바닥,"거실 바닥이 심하게 기스 나있고, 눌린 데가 있어 바닥이 떠있음",-
2022-12-16 14:02:22,534동 9441호,다용도실,전기,벽,다용도실 스위치 탈락되고 콘센트에 기스가 심합니다.,-
2019-11-21 17:46:55,581동 2238호,거실,전기,벽,거실 비디오폰이 기스가 나있어요.,-
2020-09-24 20:20:03,850동 1079호,거실,건축,벽,거실 벽체 도배 마감 미흡,-
2018-08-08 09:38:49,814동 9784호,거실,건축,,거실 창문 결로,-
2022-08-24 15:54:16,870동 1933호,주방,건축,,주방 창문 결로,-
2022-07-31 11:27:05,356동 3438호,현관,전기,천장,현관 전등 혼자서 켜지고 꺼짐 현상이 많음,-
2021-05-14 23:50:08,795동 6433호,화장실,설비,,화장실 샤워기 분무 기능이 되지 않아요.,-
2018-12-27 11:22:20,801동 4021호,화장실,건축,벽,화장실 거울 깨짐,-
2018-08-13 21:50:27,302동 5453호,거실,건축,벽,거실 창호 옆 벽 누수로 인한 벽지 교체,-
2022-04-29 12:38:29,999동 7456호,화장실,전기,벽,화장실 스위치에 오염이 심해서 교체가 필요해요.,-
2022-06-14 01:37:11,236동 1286호,거실,건축,벽,거실 아트월 하단 수평이 맞지 않아 교체 요구하였으나 미처리.,-
2020-01-21 06:44:47,639동 3107호,침실발코니,건축,바닥,"침실 발코니 바닥 타일이 깨져있고, 줄눈에 오염이 심해요.",-
2021-03-28 18:45:46,201동 2081호,거실 화장실,건축,,거실 화장실 타일 수평불량,-
2018-09-14 19:21:25,437동 380호,거실,건축,천장,거실 에어컨 부착상태 불량과 주변 도배상태가 불량해요,-
2019-05-23 08:52:52,575동 1667호,화장실,건축,,화장실 문이 휘어서 잘 안 닫히고 닫을 때 힘들어요.,-
2022-03-03 16:40:33,398동 2309호,다용도실,설비,바닥,다용도실 하수구 악취 심함,-
2022-04-02 19:28:21,850동 4501호,주방,건축,,주방 씽크대 개패불량,-
2021-01-14 22:10:26,583동 613호,침실,건축,벽,침실 전신거울 깨져있고 부착상태 불량,-
2019-04-03 20:10:01,944동 1739호,주방,건축,,"주방 창문이 잘 열리지 않고, 프레임의 오염이 심해요.",-
2021-08-11 04:58:36,892동 8670호,거실,건축,,거실 창호에 빗물이 들어옴,-
2021-10-30 06:35:55,635동 8933호,거실,전기,벽,거실 월패드 부착상태가 불량하고 주변 도배상태도 불량해요,-
2018-03-30 23:48:32,403동 2103호,화장실,건축,,화장실 장안에 선반이 조립되어 있지 않고 떨어져 있어요.,-
2018-10-17 23:32:47,876동 8771호,화장실,건축,,화장실 샤워부스 유리문 모서리 부분 깨짐,-
2021-09-19 15:25:47,679동 4894호,침실,건축,,침실 문 잠금기능이 불량합니다.,-
2022-11-19 09:57:39,959동 8467호,거실,건축,벽,거실 아트월 하단 수평이 맞지 않음,-
2019-02-12 02:05:39,464동 4744호,침실 발코니,건축,,침실 발코니 창문이 꽉 닫아지지 않아서 잠기지가 않아요.,-
2021-03-14 01:09:23,913동 1604호,거실,설비,,거실 시스템 에어컨 동작시 물떨어짐,-
2022-09-13 14:46:02,744동 5752호,침실,건축,,침실 도배 들뜸,-
2022-09-11 03:01:03,395동 3676호,화장실,설비,,화장실 변기 물 내리면 악취가 심하게 풍김,-
